Word,Frequency,Rank
a,1044,1
and,784,2
the,740,3
but,487,4
of,480,5
very,373,6
i,329,7
to,306,8
quite,302,9
it,282,10
good,265,11
with,256,12
this,256,13
not,218,14
in,216,15
top,214,16
bit,208,17
is,175,18
touch,154,19
for,150,20
on,149,21
wine,148,22
bare,141,23
that,140,24
more,137,25
at,136,26
rather,130,27
fruit,125,28
fruit.,118,29
nice,112,30
from,104,31
be,102,32
lovely,100,33
some,95,34
than,93,35
still,79,36
really,75,37
good.,74,38
an,72,39
perhaps,72,40
dry,71,41
so,71,42
drinking,68,43
or,68,44
just,68,45
as,66,46
was,65,47
slightly,65,48
has,65,49
seems,64,50
palate.,63,51
fine,62,52
finish.,62,53
wine.,62,54
will,61,55
nose,59,56
nose.,58,57
"dry,",58,58
its,57,59
one,56,60
have,55,61
time,53,62
like,53,63
my,53,64
"fruit,",52,65
bottle,51,66
pretty,50,67
might,50,68
nicely,50,69
rated,49,70
rich,48,71
no,47,72
lovely.,44,73
length.,43,74
too,42,75
needs,42,76
much,42,77
pleasant,41,78
drink,40,79
less,40,80
sweet,39,81
mature,39,82
it's,39,83
well,38,84
probably,38,85
now,38,86
palate,38,87
fairly,37,88
wines,37,89
about,37,90
could,37,91
even,36,92
long.,36,93
old,35,94
up,35,95
little,35,96
acidity,34,97
all,34,98
ripe,34,99
had,33,100
better,33,101
balance,33,102
"nose,",33,103
excellent,33,104
"rich,",33,105
first,32,106
long,32,107
balance.,32,108
decent,31,109
few,31,110
although,31,111
complex,31,112
last,30,113
nice.,30,114
think,29,115
vintage,29,116
out,28,117
too.,28,118
years,27,119
by,27,120
after,26,121
great,26,122
"elegant,",26,123
lot,26,124
i'm,25,125
mineral,25,126
yet,25,127
acidity.,25,128
vintage.,25,129
drinkable.,24,130
what,24,131
over,24,132
been,24,133
pure,24,134
two,24,135
fine.,23,136
fresh,23,137
"fragrant,",23,138
interesting,23,139
almost,23,140
easy,23,141
year,23,142
intense,23,143
while,23,144
"mineral,",22,145
classic,22,146
elegant,22,147
scrapes,22,148
simple,22,149
"good,",21,150
white,21,151
other,21,152
complexity,21,153
forward,21,154
showing,21,155
tannins.,21,156
fragrant,21,157
it.,21,158
time.,20,159
possibly,20,160
weight,20,161
being,20,162
completely,20,163
if,20,164
"pure,",20,165
you,20,166
would,20,167
are,20,168
best,20,169
soft,20,170
oak,20,171
open,19,172
try,19,173
high-toned,19,174
style,19,175
without,19,176
balanced,19,177
"lovely,",19,178
something,19,179
opens,18,180
light,18,181
drinking.,18,182
me,18,183
seem,18,184
attractive,18,185
there,18,186
delicious.,18,187
does,17,188
lacking,17,189
do,17,190
another,17,191
"fresh,",17,192
now.,17,193
young,17,194
find,17,195
"fine,",17,196
improve,17,197
"high-toned,",17,198
least,17,199
again,17,200
"wine,",17,201
years.,16,202
champagne,16,203
say,16,204
way,16,205
minerality,16,206
modern,16,207
couple,16,208
stars,15,209
"complex,",15,210
pinot,15,211
rich.,15,212
slight,15,213
pleasantly,15,214
well.,15,215
sort,15,216
half.,15,217
which,15,218
lots,15,219
age,15,220
odd,15,221
opened,15,222
bottle.,15,223
lacks,15,224
hard,15,225
seemed,15,226
food,14,227
"palate,",14,228
balanced.,14,229
given,14,230
"rounded,",14,231
red,14,232
strawberry,14,233
claret,14,234
elegant.,14,235
may,14,236
towards,14,237
pleasant.,14,238
don't,14,239
raspberry,14,240
intense.,14,241
colour.,14,242
next,14,243
finish,14,244
hint,14,245
intensity,14,246
cherry,14,247
high-toned.,14,248
rounded,14,249
"clean,",14,250
though,14,251
"balanced,",14,252
tannins,14,253
again.,14,254
