,Country Name,Year,Unemployment with primary education (% of total unemployment),Unemployment with secondary education (% of total unemployment),Unemployment with tertiary education (% of total unemployment),"Unemployment, female (% of female labor force) (national estimate)","Unemployment, male (% of male labor force) (national estimate)"
0,Kuwait,1995,49.0999984741211,29.399999618530302,6.300000190734861,,
1,Kuwait,1996,47.2000007629395,11.0,2.70000004768372,,
2,Kuwait,1997,46.5999984741211,11.5,2.79999995231628,,
3,Kuwait,1998,45.7000007629395,12.1000003814697,2.79999995231628,,
4,Kuwait,1999,44.5999984741211,12.8000001907349,2.79999995231628,,
5,Kuwait,2000,44.7999992370605,12.3000001907349,2.5,,
6,Kuwait,2001,44.9000015258789,11.8999996185303,2.70000004768372,,
7,Kuwait,2002,27.5,39.9000015258789,6.099999904632571,,
8,Kuwait,2003,21.7999992370605,41.0999984741211,14.5,,
9,Kuwait,2004,18.5,41.4000015258789,13.3000001907349,,
10,Kuwait,2005,18.6000003814697,40.4000015258789,13.0,1.79999995231628,2.0
11,Kuwait,2006,19.3999996185303,41.4000015258789,9.60000038146973,2.9000000953674303,0.8000000119209291
12,Kuwait,2007,,,,3.0999999046325697,1.0
13,Kuwait,2008,,,,3.70000004768372,1.1000000238418601
14,Kuwait,2009,,,,3.4000000953674303,1.0
15,Kuwait,2010,,,,2.79999995231628,1.39999997615814
16,Kuwait,2011,,,,4.90000009536743,2.9000000953674303
17,"Macedonia, FYR",1997,,,,40.7999992370605,33.0
18,"Macedonia, FYR",1998,,,,37.5999984741211,32.5
19,"Macedonia, FYR",1999,,,,33.2999992370605,31.899999618530302
20,"Macedonia, FYR",2000,,,,34.9000015258789,30.5
21,"Macedonia, FYR",2001,,,,32.0,29.5
22,"Macedonia, FYR",2002,,,,32.2999992370605,31.7000007629395
23,"Macedonia, FYR",2003,,,,36.2999992370605,37.0
24,"Macedonia, FYR",2004,,,,37.7999992370605,36.7000007629395
25,"Macedonia, FYR",2005,,,,38.4000015258789,36.5
26,"Macedonia, FYR",2006,35.2000007629395,54.0999984741211,9.0,37.2000007629395,35.2999992370605
27,"Macedonia, FYR",2007,34.2000007629395,54.5999984741211,9.5,35.5,34.5
28,"Macedonia, FYR",2008,36.0,52.7000007629395,9.80000019073486,34.2000007629395,33.5
29,"Macedonia, FYR",2009,33.7000007629395,54.0,11.5,32.7999992370605,31.7999992370605
30,"Macedonia, FYR",2010,32.5,53.7999992370605,12.6999998092651,32.2000007629395,31.899999618530302
31,"Macedonia, FYR",2011,30.7000007629395,53.0,15.1000003814697,30.7999992370605,31.7999992370605
32,"Macedonia, FYR",2012,29.0,54.5,15.5,30.2999992370605,31.5
33,"Macedonia, FYR",2013,27.899999618530302,54.5,16.5,29.0,29.0
34,"Macedonia, FYR",2014,28.2999992370605,55.0999984741211,16.6000003814697,28.600000381469698,27.600000381469698
