,Country Name,Year,GDP per capita (current US$),Health expenditure per capita (current US$),"Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)"
40,Brazil,2000,3728.50801001529,262.75871702,70.0419756097561,86.2279815673828
44,Brazil,2004,3596.22457976056,254.29243197,71.532,88.4094619750977
46,Brazil,2006,5808.34054715979,485.39290018,72.1317317073171,89.35324096679692
47,Brazil,2007,7246.87010479067,599.60405404,72.4148292682927,89.7721405029297
48,Brazil,2008,8706.81914190374,716.75561525,72.6954146341463,89.8378677368164
49,Brazil,2009,8474.88106576607,731.9202567000001,72.9780243902439,90.1748428344727
50,Brazil,2010,11121.4209541496,919.66852266,73.2641463414634,90.05618286132808
51,Brazil,2011,13039.1216499582,1055.13616868,73.55234146341459,91.1689834594727
52,Brazil,2012,12157.3082176473,984.92254668,73.8395853658537,91.0256729125977
53,Brazil,2013,12071.7779871352,993.4641213,74.1224390243903,91.1779632568359
92,Colombia,1996,2553.5495580915804,208.3591882,69.7483658536585,91.08910369873051
100,Colombia,2004,2740.2498268567397,147.18106594,72.0249512195122,92.9041213989258
101,Colombia,2005,3386.0254435678003,196.92570476,72.2639268292683,92.77794647216801
102,Colombia,2006,3709.07691441063,226.68782769999999,72.4914390243902,92.3927993774414
103,Colombia,2007,4674.21171017719,292.29559253,72.705512195122,92.4297027587891
104,Colombia,2008,5433.70641243197,359.70788439,72.9071707317073,93.3168792724609
105,Colombia,2009,5148.41134363939,361.02757176,73.0969512195122,93.0625381469727
106,Colombia,2010,6250.65449979147,422.38951589,73.2778536585366,93.2501907348633
107,Colombia,2011,7227.770829556441,479.6196164,73.4548048780488,93.48825073242192
110,Colombia,2014,7918.078900393521,569.18529029,73.9931463414634,93.8616409301758
152,Mexico,2000,6649.71638291076,322.08865041,74.2997317073171,92.5593719482422
154,Mexico,2002,7023.787375840289,389.26109431,74.7447073170732,91.997802734375
156,Mexico,2004,7115.12176872717,446.92466779,75.11548780487809,92.4496078491211
157,Mexico,2005,7893.96219744968,490.72137335,75.28209756097559,93.1904067993164
158,Mexico,2006,8666.33535331064,522.31139678,75.4387804878049,93.9011993408203
159,Mexico,2007,9222.88399058214,565.52595269,75.5879268292683,94.4415130615234
160,Mexico,2008,9578.57056207038,603.92116165,75.7324634146342,94.5921630859375
161,Mexico,2009,7661.2084045474,526.08402681,75.8774146341463,94.9165725708008
162,Mexico,2010,8861.49371999101,591.71250653,76.02678048780491,94.38394165039058
163,Mexico,2011,9730.277761436999,615.1036392000001,76.18565853658541,94.7827682495117
164,Mexico,2012,9720.56167412905,633.08969487,76.35409756097559,95.39163208007808
165,Mexico,2013,10198.6472993047,673.81003508,76.5326585365854,95.1121063232422
166,Mexico,2014,10353.4479828794,677.18998669,76.7218536585366,95.6204681396484
212,Turkey,2004,5855.5386598390505,312.92740445,72.0298780487805,95.2734909057617
213,Turkey,2005,7117.233241321909,386.1940968,72.4481219512195,96.00061798095699
214,Turkey,2006,7727.272404537271,447.24121374,72.8285853658537,95.9956207275391
215,Turkey,2007,9309.289172268109,559.68580846,73.1770731707317,96.2018585205078
217,Turkey,2009,8624.17218646889,522.02870105,73.80321951219508,96.3777084350586
218,Turkey,2010,10111.1925071277,565.87161546,74.0909268292683,97.29981231689449
219,Turkey,2011,10538.7234931882,557.46566168,74.36734146341459,97.9349899291992
220,Turkey,2012,10539.3654471072,555.06195987,74.6368048780488,98.2629013061523
221,Turkey,2013,10800.5423536698,588.20485371,74.9007073170732,98.4013671875
222,Turkey,2014,10303.6987055756,567.63112672,75.16351219512201,98.4967880249023
