Employee Number,No of Mails sent
1,598
2,4
3,814
4,52
5,1409
6,1015
7,76
8,2
9,9
10,39
11,145
12,3
13,162
14,195
15,5
16,172
17,16
18,126
19,1
20,6
21,759
22,90
23,26
24,51
25,1
26,10
27,113
28,9
29,747
30,23
31,1097
32,2
33,177
34,183
35,1658
36,1
37,788
38,283
39,352
40,62
41,298
42,37
43,50
44,221
45,76
46,13
47,231
48,60
49,3464
50,72
51,1
52,3
53,184
54,502
55,37
56,1
57,4
58,38
59,6
60,62
61,18
62,886
63,15
64,4220
65,23
66,33
67,767
68,48
69,50
70,284
71,3
72,237
73,450
74,4
75,125
76,5
77,68
78,100
79,127
80,721
81,865
82,175
83,38
84,991
85,282
86,190
87,15
88,11
89,14
90,43
91,1
92,1
93,274
94,21
95,13
96,126
97,1
98,1323
99,218
100,34
101,102
102,221
103,82
104,107
105,136
