Words,Rank,Frequency
enron,1,20118
kay,2,12935
com,3,12040
ect,4,11799
mann,5,8514
subject,6,6109
corp,7,5522
cc,8,5452
hou,9,5038
pm,10,5010
agreement,11,3842
please,12,3432
ge,13,3081
enron_development,14,2818
e,15,2546
message,16,2451
thanks,17,2357
forwarded,18,2285
would,19,2230
mail,20,2047
doc,21,1975
know,22,1854
sent,23,1827
ben,24,1810
may,25,1703
call,26,1670
need,27,1563
contract,28,1555
get,29,1537
john,30,1469
letter,31,1352
information,32,1328
jacoby,33,1278
na,34,1223
attached,35,1203
original,36,1196
kslaw,37,1192
ena,38,1114
one,39,1093
time,40,1071
draft,41,1070
let,42,1056
see,43,1035
copy,44,1035
enronxgate,45,1027
like,46,1010
also,47,999
ps,48,959
think,49,952
energy,50,951
new,51,935
turbine,52,931
purchase,53,915
received,54,895
want,55,880
us,56,879
could,57,871
comments,58,862
form,59,831
intended,60,830
today,61,826
power,62,817
documents,63,814
email,64,811
lisa,65,805
chris,66,802
change,67,798
review,68,797
mailto,69,787
fax,70,780
llc,71,777
changes,72,765
hi,73,764
option,74,758
michael,75,756
l,76,754
project,77,753
kathleen,78,727
meeting,79,726
suzanne,80,708
lee,81,700
notice,82,697
ccampbell,83,687
version,84,685
work,85,679
development,86,679
j,87,676
sheila,88,676
carolyn,89,673
tomorrow,90,671
go,91,663
ca,92,663
c,93,656
deal,94,652
confidential,95,651
adams,96,647
f,97,642
conference,98,640
last,99,639
send,100,637
fred,101,637
good,102,636
next,103,628
scott,104,626
going,105,625
order,106,624
date,107,623
abb,108,619
legal,109,614
agreements,110,605
delete,111,604
make,112,599
mark,113,587
use,114,572
week,115,570
kent,116,568
houston,117,565
well,118,562
facility,119,562
error,120,560
privileged,121,559
phone,122,555
entity,123,551
questions,124,550
carlos,125,549
back,126,547
document,127,544
america,128,543
akllp,129,543
assignment,130,532
copies,131,531
thank,132,528
b,133,524
file,134,524
since,135,518
discuss,136,515
revised,137,514
sender,138,513
david,139,513
immediately,140,512
friday,141,510
communication,142,502
payment,143,499
paulhastings,144,497
confidentiality,145,496
north,146,495
take,147,492
notify,148,491
campbell,149,490
first,150,490
gas,151,487
two,152,482
section,153,481
way,154,481
wednesday,155,475
tweed,156,475
peter,157,472
3d,158,469
monday,159,466
language,160,466
carnahan,161,460
forward,162,458
part,163,458
engeldorf,164,458
issues,165,456
contact,166,447
shoemaker,167,446
heather,168,445
roseann,169,444
day,170,442
johnson,171,440
named,172,439
otherwise,173,437
r,174,436
bill,175,435
made,176,433
thursday,177,432
read,178,427
print,179,427
enovate,180,427
lawyer,181,426
addressed,182,424
exhibit,183,424
contain,184,423
co,185,423
name,186,420
following,187,418
legally,188,415
gregg,189,414
tuesday,190,414
sole,191,408
find,192,408
schedule,193,408
booth,194,407
individual,195,404
erac,196,403
office,197,400
still,198,399
working,199,399
give,200,399
mitro,201,397
company,202,395
shall,203,394
number,204,393
business,205,393
escrow,206,392
look,207,391
final,208,391
help,209,390
said,210,390
nmann,211,388
exhibits,212,387
sure,213,384
transaction,214,381
bills,215,381
proposed,216,380
closing,217,380
note,218,379
regards,219,377
right,220,374
amount,221,373
g,222,372
address,223,371
clark,224,369
salmon,225,366
thompson,226,366
reagan,227,365
available,228,364
check,229,363
jkeffer,230,361
consent,231,358
recipient,232,357
paul,233,356
stuff,234,356
steve,235,355
authorized,236,353
ii,237,353
behalf,238,352
fw,239,352
delta,240,349
delivery,241,349
equipment,242,345
signed,243,344
