Section-Name,Mentions,Month
Sports,455,7
U.S.,362,7
World,231,7
Paid Death Notices,172,7
Business Day,117,7
Arts,40,7
Technology,24,7
Crosswords & Games,21,7
N.Y. / Region,21,7
Opinion,11,7
Theater,10,7
Fashion & Style,10,7
Books,5,7
Movies,5,7
Science,4,7
Food,3,7
T Magazine,3,7
Real Estate,1,7
Obituaries,1,7
Universal,1,7
NYT Now,1,7
Times Insider,1,7
Travel,1,7
Sports,523,8
U.S.,460,8
World,173,8
Business Day,142,8
Arts,48,8
Movies,28,8
NYT Now,25,8
Opinion,18,8
Fashion & Style,12,8
N.Y. / Region,10,8
T Magazine,10,8
Health,7,8
Technology,7,8
Travel,6,8
Magazine,4,8
Crosswords & Games,4,8
Paid Death Notices,3,8
Real Estate,3,8
Times Insider,3,8
Science,3,8
Theater,2,8
Obituaries,2,8
Universal,2,8
Briefing,2,8
Food,1,8
Books,1,8
Your Money,1,8
U.S.,513,9
Sports,417,9
World,237,9
Business Day,150,9
Arts,51,9
Fashion & Style,29,9
Technology,21,9
Movies,17,9
Briefing,13,9
Opinion,11,9
T Magazine,11,9
N.Y. / Region,7,9
NYT Now,4,9
Theater,4,9
Science,3,9
Health,2,9
Times Insider,2,9
The Learning Network,2,9
The Upshot,2,9
Podcasts,1,9
Magazine,1,9
Style,1,9
Automobiles,1,9
U.S.,508,10
Sports,321,10
World,279,10
Business Day,183,10
Arts,63,10
Opinion,26,10
Technology,17,10
Briefing,15,10
Movies,13,10
Books,12,10
Fashion & Style,10,10
Theater,10,10
N.Y. / Region,10,10
T Magazine,5,10
Crosswords & Games,5,10
Science,4,10
Blogs,4,10
Health,3,10
Food,3,10
Magazine,2,10
Travel,2,10
Times Insider,1,10
Multimedia/Photos,1,10
Well,1,10
Job Market,1,10
The Upshot,1,10
U.S.,454,11
Sports,325,11
World,195,11
Business Day,168,11
Arts,91,11
Movies,32,11
Fashion & Style,24,11
Opinion,23,11
N.Y. / Region,21,11
Technology,19,11
Theater,18,11
Briefing,17,11
Books,14,11
Food,14,11
T Magazine,12,11
Multimedia/Photos,11,11
Magazine,9,11
Crosswords & Games,8,11
Science,8,11
Your Money,5,11
Blogs,5,11
Times Insider,4,11
The Upshot,4,11
Well,3,11
The Learning Network,3,11
Sunday Review,3,11
Real Estate,3,11
Automobiles,2,11
Watching,1,11
Style,1,11
Travel,1,11
Public Editor,1,11
Health,1,11
